BNetzA_ID,Anmerkung,Baujahr,Betriebstand,Energietraeger,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung
BNA0005,Berechneter Zeitpunkt der Stillegung,1990,in Betrieb,Erdgas,Nein,,Ahrensfelde,37.5,Vattenfall Europe Generation AG,2030
BNA0006,Berechneter Zeitpunkt der Stillegung,1990,in Betrieb,Erdgas,Nein,,Ahrensfelde,37.5,Vattenfall Europe Generation AG,2030
BNA0007,Berechneter Zeitpunkt der Stillegung,1990,in Betrieb,Erdgas,Nein,,Ahrensfelde,37.5,Vattenfall Europe Generation AG,2030
BNA0008,Berechneter Zeitpunkt der Stillegung,1990,in Betrieb,Erdgas,Nein,,Ahrensfelde,37.5,Vattenfall Europe Generation AG,2030
BNA0010a,"Keine Stillegung, da KWK-Betrieb",1933,in Betrieb,Laufwasser,Nein,,RADAG,79.5,Rheinkraftwerk Albbruck- Dogern AG,--
BNA0012b,Berechneter Zeitpunkt der Stillegung,1947,in Betrieb,Erdgas,Ja,,Werkskraftwerk Sappi Alfeld,20.0,Sappi Alfeld GmbH,--
BNA0012d,Berechneter Zeitpunkt der Stillegung,1994,vorläufig stillgelegt,Mineralölprodukte,Nein,,Werkskraftwerk Sappi Alfeld,2.8,Sappi Alfeld GmbH,2039
BNA0015,Berechneter Zeitpunkt der Stillegung,1997,in Betrieb,Erdgas,Ja,,Heizkraftwerk Altbach/Deizisau,65.0,EnBW Energie Baden-Württemberg AG,--
BNA0016,Berechneter Zeitpunkt der Stillegung,1971,in Betrieb,Erdgas,Nein,,Heizkraftwerk Altbach/Deizisau,50.0,EnBW Energie Baden-Württemberg AG,2011
BNA0017,Berechneter Zeitpunkt der Stillegung,1973,in Betrieb,Erdgas,Nein,,Heizkraftwerk Altbach/Deizisau,57.0,EnBW Energie Baden-Württemberg AG,2013
BNA0018,Berechneter Zeitpunkt der Stillegung,1975,in Betrieb,Erdgas,Nein,,Heizkraftwerk Altbach/Deizisau,81.0,EnBW Energie Baden-Württemberg AG,2015
BNA0019,Berechneter Zeitpunkt der Stillegung,1997,in Betrieb,Steinkohle,Ja,,Heizkraftwerk Altbach/Deizisau,336.0,EnBW Energie Baden-Württemberg AG,2042
BNA0020,Berechneter Zeitpunkt der Stillegung,1985,in Betrieb,Steinkohle,Ja,,Heizkraftwerk Altbach/Deizisau,433.0,EnBW Energie Baden-Württemberg AG,2030
BNA0024,"Keine Stillegung, da KWK-Betrieb",1989,in Betrieb,Laufwasser,Nein,,KW Amlach,60.0,TIWAG-Tiroler Wasserkraft AG,--
BNA0025,Berechneter Zeitpunkt der Stillegung,1993,in Betrieb,Erdgas,Ja,,Kesselhaus Zuckerfabrik,15.1,Suiker Unie GmbH,--
BNA0033,Berechneter Zeitpunkt der Stillegung,2004,in Betrieb,Erdgas,Ja,,Gasturbine,28.75,Stadtwerke Augsburg Energie GmbH,--
BNA0042,"Keine Stillegung, da KWK-Betrieb",1944,in Betrieb,Laufwasser,Nein,,Egglfing,40.35,Innwerk AG,--
BNA0045,"Keine Stillegung, da KWK-Betrieb",1959,in Betrieb,Laufwasser,nein,,Rheinkraftwerk Säckingen,36.8,"EnBW Energie Baden-Württemberg AG /
Energiedienst AG",--
BNA0046,"Keine Stillegung, da KWK-Betrieb",1966,in Betrieb,Pumpspeicher,Nein,,Säckingen,360.0,Schluchseewerk Aktiengesellschaft,--
BNA0051,Berechneter Zeitpunkt der Stillegung,1993,in Betrieb,Erdgas,Ja,,KWK-Anlage Barby,18.0,Cargill Deutschland GmbH,--
BNA0059b,Berechneter Zeitpunkt der Stillegung,2013,in Betrieb,Erdgas,Ja,,"GuD Baunatal, VW Werksgelände",78.0,Volkswagen AG,--
BNA0065,"Keine Stillegung, da KWK-Betrieb",1970,in Betrieb,Laufwasser,Nein,,Bergheim,23.7,Donau-Wasserkraft AG,--
BNA0067,Berechneter Zeitpunkt der Stillegung,1981,in Betrieb,Steinkohle,Ja,,Bergkamen,717.0,RWE Generation SE,2026
BNA0073,Berechneter Zeitpunkt der Stillegung,1996,in Betrieb,Erdgas,Ja,GuD,Mitte,444.0,Vattenfall Europe Wärme AG,--
BNA0074,Berechneter Zeitpunkt der Stillegung,1975,in Betrieb,Erdgas,Ja,,Charlottenburg,211.0,Vattenfall Europe Wärme AG,--
BNA0075,Berechneter Zeitpunkt der Stillegung,1972,in Betrieb,Erdgas,Ja,,Lichterfelde,144.0,Vattenfall Europe Wärme AG,--
BNA0076,Berechneter Zeitpunkt der Stillegung,1974,in Betrieb,Erdgas,Ja,,Lichterfelde,144.0,Vattenfall Europe Wärme AG,--
BNA0080,Berechneter Zeitpunkt der Stillegung,1973,Sonderfall,Erdgas,Ja,,Lichterfelde,144.0,Vattenfall Europe Wärme AG,--
BNA0081,Berechneter Zeitpunkt der Stillegung,1981,in Betrieb,Braunkohle,Ja,,Klingenberg,164.0,Vattenfall Europe Wärme Aktiengesellschaft,2026
BNA0082,Berechneter Zeitpunkt der Stillegung,1969,in Betrieb,Steinkohle,Ja,,Reuter,124.0,Vattenfall Europe Wärme Aktiengesellschaft,2014
BNA0083,Berechneter Zeitpunkt der Stillegung,1977,in Betrieb,Mineralölprodukte,Ja,,Wilmersdorf,276.0,Vattenfall Europe Wärme AG,2022
BNA0084,"Keine Stillegung, da KWK-Betrieb",1998,in Betrieb,Abfall,Ja,,Reuter,36.0,Vattenfall Europe Wärme Aktiengesellschaft,--
BNA0085a,Berechneter Zeitpunkt der Stillegung,1990,in Betrieb,Steinkohle,Ja,,Moabit,89.0,Vattenfall Europe Wärme Aktiengesellschaft,2035
BNA0085b,Berechneter Zeitpunkt der Stillegung,1971,in Betrieb,Mineralölprodukte,Nein,,Moabit,51.0,Vattenfall Europe Wärme Aktiengesellschaft,2016
BNA0086,Berechneter Zeitpunkt der Stillegung,1987,in Betrieb,Steinkohle,Ja,,Reuter West,282.0,Vattenfall Europe Wärme AG,2032
BNA0087,Berechneter Zeitpunkt der Stillegung,1988,in Betrieb,Steinkohle,Ja,,Reuter West,282.0,Vattenfall Europe Wärme AG,2033
BNA0088a,"Keine Stillegung, da KWK-Betrieb",2010,in Betrieb,Abfall,Ja,,Dampfturbinenanlage der EBS-Kessel,35.0,Solvay Chemicals GmbH,--
BNA0088b,Berechneter Zeitpunkt der Stillegung,1994,in Betrieb,Erdgas,Ja,,Industriekraftwerk Bernburg (IKB),66.0,Solvay Chemicals GmbH,--
BNA0093,Berechneter Zeitpunkt der Stillegung,1983,in Betrieb,Steinkohle,Nein,,Kraftwerk Bexbach,721.0,EnBW Energie Baden-Württemberg AG,2028
BNA0097,"Keine Stillegung, da KWK-Betrieb",1981,in Betrieb,Abfall,Ja,,MVA Bielefeld,34.0,MVA Bielefeld-Herford GmbH,--
BNA0098,Berechneter Zeitpunkt der Stillegung,1978,in Betrieb,Erdgas,Ja,,HKW Schildescher Straße,23.5,Stadtwerke Bielefeld GmbH,--
