,Anmerkung,BNetzA_ID,Baujahr,Betriebstand,Energietraeger,Grenzkosten,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung,Wirkungsgrad,Aktiv
0,Berechneter Zeitpunkt der Stillegung,BNA0606,2010.0,in Betrieb,Erdgas,0.0,Ja,,Emsland,876.0,RWE Generation SE,--,0.4086,KWK
1,Berechneter Zeitpunkt der Stillegung,BNA0493,1985.0,in Betrieb,Steinkohle,0.0,Ja,,Ibbenbüren,794.0,RWE Generation SE,2030,0.3993,KWK
2,Berechneter Zeitpunkt der Stillegung,BNA0083,1977.0,in Betrieb,Mineralölprodukte,0.0,Ja,,Wilmersdorf,276.0,Vattenfall Europe Wärme AG,2022,0.35,KWK
3,Von der BNetzA Terminiert,BNA1338,1978.0,in Betrieb,Mineralölprodukte,0.0,Ja,,Spitzenkraftwerk,19.0,Eurowatt Spitzenkraft GmbH,2015,0.35,KWK
4,Berechneter Zeitpunkt der Stillegung,BNA0614b,2005.0,in Betrieb,Erdgas,0.0,Ja,,Kraftwerk Mitte,490.0,BASF SE,--,0.3927,KWK
5,Berechneter Zeitpunkt der Stillegung,BNA0626,2001.0,in Betrieb,Erdgas,0.0,Ja,,Kraftwerk Mainz,398.0,Kraftwerke Mainz-Wiesbaden AG,--,0.387,KWK
6,Berechneter Zeitpunkt der Stillegung,BNA0615,1997.0,in Betrieb,Erdgas,0.0,Ja,,Kraftwerk Süd,390.0,BASF SE,--,0.3865,KWK
7,Berechneter Zeitpunkt der Stillegung,BNA0605,1974.0,in Betrieb,Erdgas,0.0,Ja,,Emsland,359.0,RWE Generation SE,--,0.3842,KWK
8,Berechneter Zeitpunkt der Stillegung,BNA0604,1973.0,in Betrieb,Erdgas,0.0,Ja,,Emsland,359.0,RWE Generation SE,--,0.3842,KWK
9,Berechneter Zeitpunkt der Stillegung,BNA0221c,1976.0,in Betrieb,Erdgas,0.0,Ja,,Gasblock,293.0,Stadtwerke Düsseldorf AG,--,0.3786,KWK
10,Berechneter Zeitpunkt der Stillegung,BNA0418,2013.0,in Betrieb,Erdgas,0.0,Ja,,GKL,250.0,Stadtwerke Hannover AG,--,0.3743,KWK
11,Berechneter Zeitpunkt der Stillegung,BNA0207,1995.0,in Betrieb,Erdgas,0.0,Ja,,HKW Dresden-Nossener Brücke,250.0,DREWAG Stadtwerke Dresden GmbH,--,0.3743,KWK
12,Berechneter Zeitpunkt der Stillegung,BNA0123,1980.0,in Betrieb,Braunkohle,0.0,Ja,,Boxberg,465.0,Vattenfall Europe Generation AG,2025,0.3667,KWK
13,Von der BNetzA Terminiert,BNA0490,1993.0,in Betrieb,Braunkohle,0.0,Ja,,Goldenberg,85.0,RWE Power AG,2015,0.3151,KWK
14,Berechneter Zeitpunkt der Stillegung,BNA0214,2005.0,in Betrieb,Erdgas,0.0,Ja,,HKW III/B,234.0,Stadtwerke Duisburg AG,--,0.3725,KWK
15,Berechneter Zeitpunkt der Stillegung,BNA0389,1980.0,in Betrieb,Erdgas,0.0,Ja,,Heizkraftwerk Hagen-Kabel,230.0,Mark-E AG,--,0.372,KWK
