,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2013-03-25 00:00:00+01:00,2384.3,1449.9,18099.2,212.0,147.3,483.6,371.5,47.8,11769.1,0.0,14787.6,0.0,13924.7,50005.0,51561.0,360.0,8667.0
2013-03-25 01:00:00+01:00,2400.0,1442.8,18343.3,210.0,147.2,257.2,370.9,27.4,11800.7,0.0,14293.7,0.0,13614.0,48423.0,50128.0,485.0,9513.0
2013-03-25 02:00:00+01:00,2850.5,1428.6,18578.3,212.0,146.4,121.5,371.6,16.8,11810.5,0.0,14123.0,0.0,13481.3,47600.0,49607.0,588.0,9291.0
2013-03-25 03:00:00+01:00,3899.0,1430.7,18631.6,214.0,144.4,69.3,372.1,19.0,11806.1,0.0,14033.8,0.0,13406.7,47804.0,49218.0,924.0,9677.0
2013-03-25 04:00:00+01:00,4703.1,1451.5,18644.3,211.0,146.3,62.4,370.5,28.8,11807.4,0.0,14092.0,0.0,13469.4,48574.0,49671.0,1044.0,9869.0
2013-03-25 05:00:00+01:00,5442.8,1472.7,18687.3,208.0,148.3,175.7,372.8,53.6,11828.7,0.5,14379.0,11.3,13613.2,50728.0,52139.0,935.0,10066.0
2013-03-25 06:00:00+01:00,7264.6,1520.4,18660.9,209.0,136.0,694.0,373.6,44.0,11825.3,185.0,14239.9,346.1,13762.4,57015.0,56852.0,783.0,9508.0
2013-03-25 07:00:00+01:00,9307.3,1540.0,18696.3,210.0,115.8,1235.5,369.6,44.4,11923.2,1436.9,14269.3,2022.6,13912.4,61320.0,61657.0,380.0,9438.0
2013-03-25 08:00:00+01:00,9771.8,1586.0,17806.5,209.0,139.5,1356.3,361.3,126.5,12036.7,4020.4,15447.5,4594.8,14249.8,64125.0,63919.0,293.0,9853.0
2013-03-25 09:00:00+01:00,9832.0,1699.9,17239.8,209.0,144.8,1073.8,360.9,150.8,12038.0,7025.8,17155.9,7632.3,14622.1,65203.0,66446.0,88.0,10773.0
2013-03-25 10:00:00+01:00,9245.8,1796.8,16850.7,210.0,144.4,835.7,360.7,340.3,12053.9,9524.5,18104.1,10563.2,15228.5,65727.0,67882.0,0.0,10567.0
2013-03-25 11:00:00+01:00,8186.6,1863.9,16811.9,210.0,145.8,941.7,360.8,415.0,12061.7,11094.6,17662.6,12728.4,15893.1,66729.0,68540.0,0.0,9870.0
2013-03-25 12:00:00+01:00,7256.5,2097.6,16815.8,210.0,146.7,944.2,363.4,279.5,12055.2,11750.0,17964.2,13560.6,16518.0,66811.0,68435.0,0.0,10154.0
2013-03-25 13:00:00+01:00,7106.4,2370.2,16814.2,209.0,144.7,709.3,366.8,140.7,12065.4,10940.3,17873.3,13136.3,16993.5,67234.0,67631.0,0.0,10439.0
2013-03-25 14:00:00+01:00,7389.8,2600.3,16934.4,210.0,144.5,1048.3,369.5,174.6,12067.3,9333.3,18098.5,11452.6,17211.2,65911.0,66808.0,0.0,11036.0
2013-03-25 15:00:00+01:00,8013.7,2674.1,17445.6,212.0,144.0,1331.3,370.9,300.2,12053.2,7141.2,17930.4,8337.9,17236.0,64941.0,69111.0,99.0,10731.0
2013-03-25 16:00:00+01:00,8667.2,2724.1,17718.5,210.0,145.0,635.4,372.4,132.3,12063.6,4304.6,17467.5,4712.6,16895.8,63781.0,67660.0,412.0,10600.0
2013-03-25 17:00:00+01:00,9446.0,2620.5,18051.5,209.0,144.3,897.2,372.3,209.1,12078.9,1734.8,17316.8,1850.1,16317.2,65261.0,67306.0,564.0,10222.0
2013-03-25 18:00:00+01:00,10307.7,2444.3,18413.0,209.0,145.4,1526.0,373.4,357.2,12070.5,211.7,16117.6,347.1,15517.6,66817.0,68140.0,100.0,8766.0
2013-03-25 19:00:00+01:00,10997.9,2165.4,18504.3,211.0,133.6,2099.3,393.6,482.7,12079.5,0.0,14886.7,1.5,14761.2,66889.0,69197.0,111.0,6356.0
2013-03-25 20:00:00+01:00,11235.5,2208.6,18804.8,211.0,130.8,1552.1,400.4,306.3,12059.5,0.0,14238.4,0.0,14065.6,62049.0,67171.0,5.0,8205.0
2013-03-25 21:00:00+01:00,11016.7,1706.8,18669.6,211.0,130.1,683.5,402.3,75.7,12029.4,0.0,13690.6,0.0,13372.4,59483.0,65013.0,422.0,7651.0
2013-03-25 22:00:00+01:00,10552.7,1492.5,18670.3,211.0,133.2,826.2,401.3,75.2,12050.4,0.0,12555.6,0.0,12734.4,57479.0,63174.0,225.0,9256.0
2013-03-25 23:00:00+01:00,8892.1,1475.6,18713.9,211.0,138.1,929.2,399.4,92.2,12064.9,0.0,11723.1,0.0,12007.9,54131.0,58795.0,0.0,8980.0
