,Load_2015,Load_2016
2016-04-03 00:00:00+02:00,39191.2,39191.2
2016-04-03 01:00:00+02:00,37553.2,37553.2
2016-04-03 02:00:00+02:00,36597.5,36597.5
2016-04-03 03:00:00+02:00,36191.5,36191.5
2016-04-03 04:00:00+02:00,36510.5,36510.5
2016-04-03 05:00:00+02:00,36166.2,36166.2
2016-04-03 06:00:00+02:00,35001.0,35001.0
2016-04-03 07:00:00+02:00,36170.8,36170.8
2016-04-03 08:00:00+02:00,39975.5,39975.5
2016-04-03 09:00:00+02:00,42736.2,42736.2
2016-04-03 10:00:00+02:00,44646.8,44646.8
2016-04-03 11:00:00+02:00,47296.8,47296.8
2016-04-03 12:00:00+02:00,46119.0,46119.0
2016-04-03 13:00:00+02:00,42780.8,42780.8
2016-04-03 14:00:00+02:00,41535.2,41535.2
2016-04-03 15:00:00+02:00,40324.5,40324.5
2016-04-03 16:00:00+02:00,39476.2,39476.2
2016-04-03 17:00:00+02:00,39706.2,39706.2
2016-04-03 18:00:00+02:00,41350.8,41350.8
2016-04-03 19:00:00+02:00,42361.8,42361.8
2016-04-03 20:00:00+02:00,44193.8,44193.8
2016-04-03 21:00:00+02:00,44016.2,44016.2
2016-04-03 22:00:00+02:00,43713.8,43713.8
2016-04-03 23:00:00+02:00,41053.0,41053.0
