,Load_2013,Load_2014,Load_2016
2016-10-23 00:00:00+02:00,41309.0,41156.0,41232.5
2016-10-23 01:00:00+02:00,38951.0,39261.0,39106.0
2016-10-23 02:00:00+02:00,36917.0,37520.0,37218.5
2016-10-23 03:00:00+02:00,36796.0,37001.0,36898.5
2016-10-23 04:00:00+02:00,37332.0,36719.0,37025.5
2016-10-23 05:00:00+02:00,37620.0,37082.0,37351.0
2016-10-23 06:00:00+02:00,38380.0,37682.0,38031.0
2016-10-23 07:00:00+02:00,39943.0,39359.0,39651.0
2016-10-23 08:00:00+02:00,41698.0,42020.0,41859.0
2016-10-23 09:00:00+02:00,44303.0,44722.0,44512.5
2016-10-23 10:00:00+02:00,47354.0,46434.0,46894.0
2016-10-23 11:00:00+02:00,49504.0,48418.0,48961.0
2016-10-23 12:00:00+02:00,49233.0,48312.0,48772.5
2016-10-23 13:00:00+02:00,47336.0,46742.0,47039.0
2016-10-23 14:00:00+02:00,45884.0,45084.0,45484.0
2016-10-23 15:00:00+02:00,45073.0,44624.0,44848.5
2016-10-23 16:00:00+02:00,44701.0,45159.0,44930.0
2016-10-23 17:00:00+02:00,46121.0,47457.0,46789.0
2016-10-23 18:00:00+02:00,49925.0,51955.0,50940.0
2016-10-23 19:00:00+02:00,50522.0,53355.0,51938.5
2016-10-23 20:00:00+02:00,48075.0,51182.0,49628.5
2016-10-23 21:00:00+02:00,46448.0,48650.0,47549.0
2016-10-23 22:00:00+02:00,45690.0,46776.0,46233.0
2016-10-23 23:00:00+02:00,43163.0,43645.0,43404.0
