,Load_2013,Load_2014,Load_2015,Load_2016
2016-11-30 00:00:00+01:00,51216.0,47132.0,50960.0,49769.3
2016-11-30 01:00:00+01:00,49513.0,45708.0,48814.8,48011.9
2016-11-30 02:00:00+01:00,49334.0,44093.0,48337.0,47254.7
2016-11-30 03:00:00+01:00,49374.0,44591.0,48828.2,47597.7
2016-11-30 04:00:00+01:00,50349.0,46212.0,50547.5,49036.2
2016-11-30 05:00:00+01:00,52356.0,49233.0,54086.8,51891.9
2016-11-30 06:00:00+01:00,59641.0,57258.0,62280.2,59726.4
2016-11-30 07:00:00+01:00,65740.0,62739.0,69036.5,65838.5
2016-11-30 08:00:00+01:00,68021.0,64319.0,71248.8,67862.9
2016-11-30 09:00:00+01:00,67420.0,63690.0,71311.2,67473.7
2016-11-30 10:00:00+01:00,67365.0,64556.0,72416.0,68112.3
2016-11-30 11:00:00+01:00,63587.0,65110.0,73107.8,67268.3
2016-11-30 12:00:00+01:00,68571.0,64739.0,71861.8,68390.6
2016-11-30 13:00:00+01:00,68339.0,64496.0,70660.8,67831.9
2016-11-30 14:00:00+01:00,67439.0,63974.0,69725.5,67046.2
2016-11-30 15:00:00+01:00,67781.0,64675.0,69482.0,67312.7
2016-11-30 16:00:00+01:00,68584.0,65795.0,70698.5,68359.2
2016-11-30 17:00:00+01:00,71732.0,67895.0,72870.2,70832.4
2016-11-30 18:00:00+01:00,70699.0,67167.0,71908.5,69924.8
2016-11-30 19:00:00+01:00,67817.0,64854.0,70129.2,67600.1
2016-11-30 20:00:00+01:00,64174.0,61459.0,66175.8,63936.3
2016-11-30 21:00:00+01:00,62210.0,57997.0,62530.5,60912.5
2016-11-30 22:00:00+01:00,59991.0,55641.0,59428.0,58353.3
2016-11-30 23:00:00+01:00,56924.0,51217.0,54139.0,54093.3
