,Load_2018
2018-09-08 00:00:00+02:00,43277.9
2018-09-08 01:00:00+02:00,41596.0
2018-09-08 02:00:00+02:00,40469.7
2018-09-08 03:00:00+02:00,39816.3
2018-09-08 04:00:00+02:00,39814.9
2018-09-08 05:00:00+02:00,40535.0
2018-09-08 06:00:00+02:00,42502.9
2018-09-08 07:00:00+02:00,44732.3
2018-09-08 08:00:00+02:00,48031.3
2018-09-08 09:00:00+02:00,51112.4
2018-09-08 10:00:00+02:00,53165.1
2018-09-08 11:00:00+02:00,54387.0
2018-09-08 12:00:00+02:00,53955.5
2018-09-08 13:00:00+02:00,52788.3
2018-09-08 14:00:00+02:00,51361.6
2018-09-08 15:00:00+02:00,50094.0
2018-09-08 16:00:00+02:00,49115.4
2018-09-08 17:00:00+02:00,49067.4
2018-09-08 18:00:00+02:00,49041.1
2018-09-08 19:00:00+02:00,48851.3
2018-09-08 20:00:00+02:00,48879.6
2018-09-08 21:00:00+02:00,46640.2
2018-09-08 22:00:00+02:00,44305.3
2018-09-08 23:00:00+02:00,41517.4
